Food Name,Food Category,Nutrient,Amount per 100g,Safe Limit,Toxicity Limit,Unit,Associated NCD
Almonds,Nuts & Seeds,Saturated Fat,27.82,20.0,50,g,Heart Disease
Almonds,Nuts & Seeds,Sugar,26.07,50.0,100,g,Diabetes
Almonds,Nuts & Seeds,Vitamin C,112.31,90.0,2000,mg,Gastrointestinal Issues
Almonds,Nuts & Seeds,Fat,29.05,70.0,100,g,Obesity
Almonds,Nuts & Seeds,Sodium,1042.88,2300.0,3500,mg,Hypertension
Almonds,Nuts & Seeds,Cholesterol,442.31,300.0,500,mg,Heart Disease
Almonds,Nuts & Seeds,Vitamin E,9.17,15.0,1000,mg,Bleeding Issues
Almonds,Nuts & Seeds,Folic Acid,87.16,400.0,1000,mcg,Neurological Issues
Apple,Fruit,Vitamin D,3647.1,4000.0,10000,IU,Toxicity Symptoms
Apple,Fruit,Cholesterol,98.87,300.0,500,mg,Heart Disease
Apple,Fruit,Saturated Fat,20.15,20.0,50,g,Heart Disease
Apple,Fruit,Fiber,18.46,30.0,50,g,Digestive Issues
Apple,Fruit,Carbohydrates,132.33,250.0,400,g,Obesity
Apple,Fruit,Folic Acid,356.17,400.0,1000,mcg,Neurological Issues
Apple,Fruit,Zinc,11.35,11.0,40,mg,Immune Dysfunction
Apple,Fruit,Omega-3,4.46,3.0,5,g,Blood Clot Issues
Apple,Fruit,Sodium,788.32,2300.0,3500,mg,Hypertension
Apple,Fruit,Magnesium,122.34,400.0,1000,mg,Nerve Damage
Apple,Fruit,Protein,71.12,50.0,200,g,Kidney Damage
Apple,Fruit,Calcium,1090.5,1000.0,2500,mg,Kidney Stones
Apple,Fruit,Vitamin B12,3.46,2.4,500,mcg,Neurological Issues
Avocado,Fruit,Iron,16.36,18.0,45,mg,Liver Damage
Avocado,Fruit,Omega-3,1.57,3.0,5,g,Blood Clot Issues
Avocado,Fruit,Copper,1.07,0.9,10,mg,Liver Damage
Avocado,Fruit,Zinc,15.41,11.0,40,mg,Immune Dysfunction
Avocado,Fruit,Cholesterol,212.77,300.0,500,mg,Heart Disease
Avocado,Fruit,Phosphorus,266.29,700.0,4000,mg,Bone Loss
Avocado,Fruit,Vitamin B12,1.46,2.4,500,mcg,Neurological Issues
Avocado,Fruit,Sodium,2814.07,2300.0,3500,mg,Hypertension
Avocado,Fruit,Vitamin D,2211.37,4000.0,10000,IU,Toxicity Symptoms
Avocado,Fruit,Folic Acid,275.36,400.0,1000,mcg,Neurological Issues
Avocado,Fruit,Magnesium,410.64,400.0,1000,mg,Nerve Damage
Banana,Fruit,Folic Acid,360.8,400.0,1000,mcg,Neurological Issues
Banana,Fruit,Vitamin C,109.44,90.0,2000,mg,Gastrointestinal Issues
Banana,Fruit,Fiber,43.51,30.0,50,g,Digestive Issues
Banana,Fruit,Vitamin E,10.38,15.0,1000,mg,Bleeding Issues
Banana,Fruit,Sugar,20.29,50.0,100,g,Diabetes
Banana,Fruit,Vitamin B12,2.35,2.4,500,mcg,Neurological Issues
Banana,Fruit,Omega-3,0.95,3.0,5,g,Blood Clot Issues
Barley,Grains,Cholesterol,124.14,300.0,500,mg,Heart Disease
Barley,Grains,Manganese,3.25,2.3,11,mg,Neurological Problems
Barley,Grains,Sugar,53.61,50.0,100,g,Diabetes
Barley,Grains,Vitamin A,997.65,3000.0,10000,IU,Liver Toxicity
Barley,Grains,Folic Acid,268.6,400.0,1000,mcg,Neurological Issues
Barley,Grains,Sodium,1527.24,2300.0,3500,mg,Hypertension
Barley,Grains,Protein,36.61,50.0,200,g,Kidney Damage
Barley,Grains,Vitamin B12,0.92,2.4,500,mcg,Neurological Issues
Barley,Grains,Vitamin C,121.31,90.0,2000,mg,Gastrointestinal Issues
Barley,Grains,Saturated Fat,29.69,20.0,50,g,Heart Disease
Barley,Grains,Carbohydrates,347.97,250.0,400,g,Obesity
Beef,Meat,Carbohydrates,248.96,250.0,400,g,Obesity
Beef,Meat,Folic Acid,243.03,400.0,1000,mcg,Neurological Issues
Beef,Meat,Zinc,10.47,11.0,40,mg,Immune Dysfunction
Beef,Meat,Selenium,74.98,55.0,400,mcg,Selenosis
Beef,Meat,Saturated Fat,4.05,20.0,50,g,Heart Disease
Beef,Meat,Vitamin C,75.34,90.0,2000,mg,Gastrointestinal Issues
Beef,Meat,Vitamin E,4.55,15.0,1000,mg,Bleeding Issues
Beef,Meat,Manganese,1.43,2.3,11,mg,Neurological Problems
Beetroot,Root & Tubers,Folic Acid,127.41,400.0,1000,mcg,Neurological Issues
Beetroot,Root & Tubers,Phosphorus,264.34,700.0,4000,mg,Bone Loss
Beetroot,Root & Tubers,Copper,1.03,0.9,10,mg,Liver Damage
Beetroot,Root & Tubers,Vitamin E,13.68,15.0,1000,mg,Bleeding Issues
Beetroot,Root & Tubers,Manganese,1.16,2.3,11,mg,Neurological Problems
Beetroot,Root & Tubers,Calcium,1448.01,1000.0,2500,mg,Kidney Stones
